,Symbol,Status,Date,Time,Buy/Sell,Price Point,Shares,Number of Orders,Listing Market
25,APD,P,20191007,63000.25745064401,B,205.0,500,1,N
211,APD,P,20191007,70000.309844266,B,158.0,200,1,N
212,APD,P,20191007,70000.309844266,B,207.0,5,1,N
841,APD,P,20191007,70002.327254932,B,150.0,100,1,N
842,APD,P,20191007,70002.327254932,B,202.87,35,1,N
843,APD,P,20191007,70002.327254932,B,205.0,525,2,N
844,APD,P,20191007,70002.327254932,B,210.0,5,1,N
845,APD,P,20191007,70002.327254932,S,220.0,3,1,N
846,APD,P,20191007,70002.327254932,S,225.42,7,1,N
847,APD,P,20191007,70002.327254932,S,228.42,6,1,N
848,APD,P,20191007,70002.327254932,S,236.38,8,1,N
1041,APD,P,20191007,70003.330736003,B,150.0,117,2,N
1042,APD,P,20191007,70003.330736003,B,160.0,100,1,N
1043,APD,P,20191007,70003.330736003,B,174.25,30,1,N
1044,APD,P,20191007,70003.330736003,B,185.98,5,1,N
1045,APD,P,20191007,70003.330736003,B,194.87,1,1,N
1046,APD,P,20191007,70003.330736003,B,200.0,6,1,N
1047,APD,P,20191007,70003.330736003,B,202.55,3,1,N
1048,APD,P,20191007,70003.330736003,B,214.5,12,1,N
1049,APD,P,20191007,70003.330736003,S,263.5,23,1,N
1635,APD,P,20191007,72352.80156626701,B,211.6,40,1,N
1636,APD,P,20191007,72352.80156626701,S,215.1,50,1,N
1760,APD,P,20191007,72406.960181242,S,250.0,5,1,N
1968,APD,P,20191007,72512.664794489,B,161.03,6,1,N
1969,APD,P,20191007,72512.664794489,B,171.03,5,1,N
1970,APD,P,20191007,72512.664794489,B,176.84,22,1,N
1971,APD,P,20191007,72512.664794489,B,184.53,4,1,N
2240,APD,P,20191007,72513.672899625,B,126.84,100,1,N
2486,APD,P,20191007,72514.69297865,B,165.88,300,1,N
2487,APD,P,20191007,72514.69297865,B,180.0,100,1,N
2488,APD,P,20191007,72514.69297865,B,197.68,5,1,N
2489,APD,P,20191007,72514.69297865,S,220.99,2000,1,N
2701,APD,P,20191007,72515.704276882,B,135.0,200,1,N
2702,APD,P,20191007,72515.704276882,B,150.0,217,3,N
2703,APD,P,20191007,72515.704276882,B,171.18,115,1,N
2941,APD,P,20191007,72517.708985157,B,169.83,10,1,N
2942,APD,P,20191007,72517.708985157,S,230.0,10,1,N
2943,APD,P,20191007,72517.708985157,S,242.0,30,1,N
3056,APD,P,20191007,72518.737973201,B,200.0,21,2,N
3057,APD,P,20191007,72518.737973201,S,218.0,30,1,N
3231,APD,P,20191007,72519.76774255901,B,146.37,10,1,N
3232,APD,P,20191007,72519.76774255901,B,201.84,90,1,N
3233,APD,P,20191007,72519.76774255901,S,225.0,30,1,N
3234,APD,P,20191007,72519.76774255901,S,235.0,10,1,N
3789,APD,P,20191007,72523.830211408,B,148.2,8,1,N
3790,APD,P,20191007,72523.830211408,B,180.0,125,2,N
3791,APD,P,20191007,72523.830211408,B,191.0,60,1,N
3792,APD,P,20191007,72523.830211408,B,201.2,100,1,N
3793,APD,P,20191007,72523.830211408,B,210.27,100,1,N
3794,APD,P,20191007,72523.830211408,S,229.9,100,1,N
4240,APD,P,20191007,72527.83345091701,B,134.32,1,1,N
4241,APD,P,20191007,72527.83345091701,S,229.25,120,1,N
4242,APD,P,20191007,72527.83345091701,S,230.0,11,2,N
4977,APD,P,20191007,72534.953330761,B,142.84,40,1,N
4978,APD,P,20191007,72534.953330761,B,145.39,20,1,N
4979,APD,P,20191007,72534.953330761,B,168.84,50,1,N
4980,APD,P,20191007,72534.953330761,B,183.84,16,1,N
4981,APD,P,20191007,72534.953330761,B,197.84,100,1,N
4982,APD,P,20191007,72534.953330761,B,201.62,10,1,N
4983,APD,P,20191007,72534.953330761,S,225.94,197,1,N
5008,APD,P,20191007,72535.97507315599,S,221.82,10,1,N
5009,APD,P,20191007,72535.97507315599,S,225.0,470,2,N
