,Symbol,Status,Date,Time,Buy/Sell,Price Point,Shares,Number of Orders,Listing Market
26,BDX,P,20191007,63000.25745503401,B,242.0,100,1,N
27,BDX,P,20191007,63000.25745503401,S,263.0,31,1,N
213,BDX,P,20191007,70000.30986662299,S,258.37,50,1,N
688,BDX,P,20191007,70001.31796073,B,144.25,11,1,N
689,BDX,P,20191007,70001.31796073,B,159.57,6,1,N
690,BDX,P,20191007,70001.31796073,B,184.0,5,1,N
691,BDX,P,20191007,70001.31796073,B,194.87,1,1,N
692,BDX,P,20191007,70001.31796073,B,200.0,24,2,N
693,BDX,P,20191007,70001.31796073,B,205.0,44,1,N
694,BDX,P,20191007,70001.31796073,B,208.5,1,1,N
695,BDX,P,20191007,70001.31796073,B,215.0,4,1,N
696,BDX,P,20191007,70001.31796073,B,220.0,12,1,N
697,BDX,P,20191007,70001.31796073,B,221.5,1,1,N
698,BDX,P,20191007,70001.31796073,B,224.35,1,1,N
699,BDX,P,20191007,70001.31796073,B,228.41,9,1,N
700,BDX,P,20191007,70001.31796073,B,230.0,15,2,N
701,BDX,P,20191007,70001.31796073,B,236.01,3,1,N
702,BDX,P,20191007,70001.31796073,B,237.0,4,1,N
703,BDX,P,20191007,70001.31796073,B,240.23,8,1,N
704,BDX,P,20191007,70001.31796073,B,242.39,5,2,N
705,BDX,P,20191007,70001.31796073,B,244.0,4,1,N
706,BDX,P,20191007,70001.31796073,S,250.08,11,1,N
707,BDX,P,20191007,70001.31796073,S,264.1,13,1,N
708,BDX,P,20191007,70001.31796073,S,265.0,2,1,N
709,BDX,P,20191007,70001.31796073,S,271.0,6,1,N
710,BDX,P,20191007,70001.31796073,S,284.61,20,1,N
711,BDX,P,20191007,70001.31796073,S,525.96,4,1,N
1465,BDX,P,20191007,70726.73328978701,B,247.0,15,1,N
1466,BDX,P,20191007,70726.73328978701,S,246.8,30,1,N
1467,BDX,P,20191007,70726.73328978701,S,251.8,30,1,N
1628,BDX,P,20191007,72305.33415771,B,250.61,20,1,N
1629,BDX,P,20191007,72305.33415771,S,254.36,20,1,N
1729,BDX,P,20191007,72403.930393645,S,253.0,15,1,N
1761,BDX,P,20191007,72406.96018417401,B,196.55,7,1,N
1762,BDX,P,20191007,72406.96018417401,B,200.0,39,3,N
1763,BDX,P,20191007,72406.96018417401,B,210.0,20,1,N
1764,BDX,P,20191007,72406.96018417401,B,241.0,16,1,N
1765,BDX,P,20191007,72406.96018417401,B,244.18,14,1,N
1766,BDX,P,20191007,72406.96018417401,B,252.41,3,1,N
1972,BDX,P,20191007,72512.664798415,B,138.0,25,1,N
1973,BDX,P,20191007,72512.664798415,B,208.88,15,1,N
1974,BDX,P,20191007,72512.664798415,B,218.88,9,1,N
1975,BDX,P,20191007,72512.664798415,B,220.0,26,2,N
1976,BDX,P,20191007,72512.664798415,B,223.0,1,1,N
1977,BDX,P,20191007,72512.664798415,B,224.23,20,1,N
1978,BDX,P,20191007,72512.664798415,B,225.9,18,1,N
1979,BDX,P,20191007,72512.664798415,B,229.23,20,1,N
1980,BDX,P,20191007,72512.664798415,B,235.0,100,1,N
1981,BDX,P,20191007,72512.664798415,B,238.88,21,1,N
1982,BDX,P,20191007,72512.664798415,B,239.23,20,1,N
1983,BDX,P,20191007,72512.664798415,B,240.0,50,1,N
1984,BDX,P,20191007,72512.664798415,B,240.56,15,1,N
1985,BDX,P,20191007,72512.664798415,S,262.0,20,1,N
1986,BDX,P,20191007,72512.664798415,S,263.5,60,1,N
1987,BDX,P,20191007,72512.664798415,S,263.88,152,1,N
1988,BDX,P,20191007,72512.664798415,S,264.0,32,1,N
1989,BDX,P,20191007,72512.664798415,S,269.0,80,1,N
1990,BDX,P,20191007,72512.664798415,S,290.0,11,1,N
2241,BDX,P,20191007,72513.67290802,B,105.93,15,1,N
2242,BDX,P,20191007,72513.67290802,B,173.46,100,1,N
2243,BDX,P,20191007,72513.67290802,B,187.69,20,1,N
2244,BDX,P,20191007,72513.67290802,B,189.6,3,1,N
2245,BDX,P,20191007,72513.67290802,B,200.23,40,1,N
2246,BDX,P,20191007,72513.67290802,B,213.23,30,1,N
2247,BDX,P,20191007,72513.67290802,B,219.23,21,2,N
2248,BDX,P,20191007,72513.67290802,B,220.0,86,4,N
2249,BDX,P,20191007,72513.67290802,B,225.0,20,1,N
2250,BDX,P,20191007,72513.67290802,B,227.23,15,1,N
2251,BDX,P,20191007,72513.67290802,B,230.0,115,3,N
2252,BDX,P,20191007,72513.67290802,B,234.23,3,1,N
2253,BDX,P,20191007,72513.67290802,B,238.23,10,1,N
2254,BDX,P,20191007,72513.67290802,S,265.0,85,2,N
2255,BDX,P,20191007,72513.67290802,S,268.0,3,1,N
2256,BDX,P,20191007,72513.67290802,S,285.0,8,1,N
2257,BDX,P,20191007,72513.67290802,S,363.77,140,1,N
2490,BDX,P,20191007,72514.69298788901,B,179.23,2,1,N
2491,BDX,P,20191007,72514.69298788901,B,196.61,5,1,N
2492,BDX,P,20191007,72514.69298788901,B,198.56,20,1,N
2493,BDX,P,20191007,72514.69298788901,B,206.0,15,1,N
2494,BDX,P,20191007,72514.69298788901,B,207.31,3,1,N
2495,BDX,P,20191007,72514.69298788901,B,209.31,5,1,N
2496,BDX,P,20191007,72514.69298788901,B,213.73,25,1,N
2497,BDX,P,20191007,72514.69298788901,B,218.11,15,1,N
2498,BDX,P,20191007,72514.69298788901,B,219.31,2,1,N
2499,BDX,P,20191007,72514.69298788901,B,220.85,3,1,N
2500,BDX,P,20191007,72514.69298788901,B,232.0,75,1,N
2501,BDX,P,20191007,72514.69298788901,B,234.23,53,2,N
2502,BDX,P,20191007,72514.69298788901,B,239.23,355,2,N
2503,BDX,P,20191007,72514.69298788901,B,244.23,20,1,N
2504,BDX,P,20191007,72514.69298788901,B,245.0,100,1,N
2505,BDX,P,20191007,72514.69298788901,S,257.0,84,1,N
2506,BDX,P,20191007,72514.69298788901,S,270.0,120,2,N
2507,BDX,P,20191007,72514.69298788901,S,275.0,6,1,N
2508,BDX,P,20191007,72514.69298788901,S,290.0,31,2,N
2704,BDX,P,20191007,72515.704282567,B,219.0,20,1,N
2816,BDX,P,20191007,72516.70903290401,B,216.5,325,4,N
2817,BDX,P,20191007,72516.70903290401,S,270.0,295,4,N
3058,BDX,P,20191007,72518.73798579701,B,242.0,161,2,N
3059,BDX,P,20191007,72518.73798579701,S,269.0,240,2,N
3060,BDX,P,20191007,72518.73798579701,S,284.12,17,1,N
