,Symbol,Status,Date,Time,Buy/Sell,Price Point,Shares,Number of Orders,Listing Market
35,FNB,P,20191007,63000.313955067,S,16.0,31505,2,N
110,FNB,P,20191007,70000.145330216,B,10.45,1200,1,N
111,FNB,P,20191007,70000.145330216,S,13.9,130,1,N
597,FNB,P,20191007,70001.154710259,B,6.86,100,1,N
598,FNB,P,20191007,70001.154710259,B,9.85,140,1,N
835,FNB,P,20191007,70002.164095573,B,10.11,480,1,N
836,FNB,P,20191007,70002.164095573,S,15.0,100,1,N
2268,FNB,P,20191007,72514.09453961201,B,10.13,100,1,N
2269,FNB,P,20191007,72514.09453961201,S,13.0,1000,1,N
2523,FNB,P,20191007,72515.115044591,B,10.75,1000,1,N
2524,FNB,P,20191007,72515.115044591,S,15.0,400,2,N
2525,FNB,P,20191007,72515.115044591,S,17.3,250,1,N
2947,FNB,P,20191007,72518.130240002,B,9.94,2485,1,N
2948,FNB,P,20191007,72518.130240002,S,12.0,2300,1,N
2949,FNB,P,20191007,72518.130240002,S,12.75,200,1,N
2950,FNB,P,20191007,72518.130240002,S,13.5,800,1,N
2951,FNB,P,20191007,72518.130240002,S,14.0,400,1,N
3067,FNB,P,20191007,72519.162832377,S,14.0,2185,2,N
3239,FNB,P,20191007,72520.162891635,S,13.5,4800,2,N
3240,FNB,P,20191007,72520.162891635,S,14.0,2885,3,N
3449,FNB,P,20191007,72521.194814836,B,11.0,500,1,N
3450,FNB,P,20191007,72521.194814836,S,14.95,101,1,N
3717,FNB,P,20191007,72523.235190605,S,13.0,3236,2,N
4116,FNB,P,20191007,72526.244427732,S,11.9,1000,1,N
4117,FNB,P,20191007,72526.244427732,S,12.0,2430,2,N
4118,FNB,P,20191007,72526.244427732,S,12.5,5500,1,N
4509,FNB,P,20191007,72530.293684719,S,14.0,2992,4,N
4510,FNB,P,20191007,72530.293684719,S,16.44,25,1,N
5062,FNB,P,20191007,72537.379308747,B,10.03,100,1,N
5063,FNB,P,20191007,72537.379308747,S,14.5,200,1,N
5064,FNB,P,20191007,72537.379308747,S,17.28,2600,1,N
5500,FNB,P,20191007,72544.471553532,S,12.3,5540,1,N
6295,FNB,P,20191007,72556.595864933,S,14.0,10845,5,N
6379,FNB,P,20191007,72759.891552748,B,11.36,600,1,N
6380,FNB,P,20191007,72759.891552748,S,11.56,600,1,N
6738,FNB,P,20191007,73004.14146929201,B,9.79,200,1,N
6902,FNB,P,20191007,73216.461849866,S,12.5,7477,2,N
6993,FNB,P,20191007,73222.531446962,S,12.75,2583,2,N
7327,FNB,P,20191007,73335.33082561,S,15.0,500,3,N
7420,FNB,P,20191007,73525.643976469,B,9.88,200,1,N
7526,FNB,P,20191007,73539.807070196,B,9.76,10000,1,N
7541,FNB,P,20191007,73541.82516958,B,10.35,100,1,N
7547,FNB,P,20191007,73542.828378005,S,15.0,20500,4,N
7610,FNB,P,20191007,73546.847910895,S,11.87,143,1,N
8042,FNB,P,20191007,73602.086657944,S,14.25,682,1,N
8155,FNB,P,20191007,73605.123644678,S,13.0,4236,3,N
8306,FNB,P,20191007,73609.146416173,S,12.0,3451,4,N
8605,FNB,P,20191007,73615.263204979,S,12.5,42477,3,N
8899,FNB,P,20191007,75001.90329480299,S,12.5,42574,4,N
9333,FNB,P,20191007,75008.99589951799,B,10.18,300,1,N
9421,FNB,P,20191007,75010.00691485,B,9.98,2500,1,N
9422,FNB,P,20191007,75010.00691485,B,10.13,2600,2,N
9643,FNB,P,20191007,75013.048809187,B,9.21,25,1,N
9644,FNB,P,20191007,75013.048809187,B,10.2,1000,1,N
9645,FNB,P,20191007,75013.048809187,B,10.63,400,1,N
9786,FNB,P,20191007,75015.073559485,S,12.15,100,1,N
9787,FNB,P,20191007,75015.073559485,S,13.69,500,1,N
9863,FNB,P,20191007,75016.081441081,S,13.95,2000,1,N
9993,FNB,P,20191007,75018.094257788,S,16.0,31955,3,N
10425,FNB,P,20191007,75024.136713527,B,10.61,290,1,N
10558,FNB,P,20191007,75026.154125835,S,12.3,5598,2,N
10688,FNB,P,20191007,75028.179111073,S,12.5,47574,5,N
